,Coin Name,Status,Start Year,End Year
41,VestxCoin,Abandoned or No Volume,2018,2018
42,Viero,Scam or Other Issues,2018,2018
43,Verity,Abandoned or No Volume,2018,2019
44,AmplYfi,Scam or Other Issues,2020,2020
45,Vidioshare,Abandoned or No Volume,2014,2015
46,Veronite,Abandoned or No Volume,2018,2018
47,Vernam,Abandoned or No Volume,2018,2018
48,Unicoin,Scam or Other Issues,2017,2018
49,WhaleFarm,Scam or Other Issues,2021,2021
50,Meerkat Finance,Scam or Other Issues,2021,2021
51,Vereum,Abandoned or No Volume,2018,2018
52,Ventura,Abandoned or No Volume,2018,2018
53,VendettaCoin,Abandoned or No Volume,2014,2014
54,Vanta Network,Abandoned or No Volume,2019,2019
55,Turtledex,Scam or Other Issues,2021,2021
56,Venturenic,Abandoned or No Volume,2015,2015
57,VendiCoins,Scam or Other Issues,2018,2018
58,V Cash,Abandoned or No Volume,2019,2019
59,Vanillacoin,Abandoned or No Volume,2015,2015
60,Vampirecoin,Abandoned or No Volume,2014,2014
61,VaderCoin,Abandoned or No Volume,2014,2014
62,ICE ROCK MINING,Scam or Other Issues,2018,2021
63,Uranium Finance,Scam or Other Issues,2021,2021
64,VeloChain,Scam or Other Issues,2021,2021
65,Valuto,Abandoned or No Volume,2018,2021
66,ValueCoin,Abandoned or No Volume,2013,2013
67,Tsuzuki inu,Scam or Other Issues,2021,2021
68,Squid Game,Abandoned or No Volume,2021,2021
69,Minereum,Scam or Other Issues,2021,2021
70,Robinhood,Abandoned or No Volume,2021,2011
71,Unobtanium,Abandoned or No Volume,2014,2021
72,Unity Coin,Scam or Other Issues,2014,2017
73,Uniform Fiscal Objec,Abandoned or No Volume,2017,2021
74,UltraPay Coin,Scam or Other Issues,2019,2019
75,UPStake,Scam or Other Issues,2019,2019
76,Unix Coin,Scam or Other Issues,2017,2017
77,United Federation Cr,Abandoned or No Volume,2014,2014
78,Unicore,Scam or Other Issues,2020,2020
79,UltraNote,Scam or Other Issues,2017,2021
80,Ultrachain,Scam or Other Issues,2018,2018
81,UKCoin,Scam or Other Issues,2014,2014
82,Ucoin Cash,Scam or Other Issues,2017,2018
83,Minidog,Scam or Other Issues,2020,2021
84,UbiatarPlay,Scam or Other Issues,2018,2018
85,UltimateCoin,Abandoned or No Volume,2014,2014
86,Hub Token,Abandoned or No Volume,2018,2021
87,UChain,Abandoned or No Volume,2018,2018
88,Dogebonk,Scam or Other Issues,2021,2021
89,UCASH,Scam or Other Issues,2017,2018
90,Tuxcoin,Abandoned or No Volume,2018,2019
91,Turbo Coin,Abandoned or No Volume,2014,2014
92,Truecoin,Scam or Other Issues,2018,2018
93,Truckcoin,Abandoned or No Volume,2014,2021
94,Trollcoin,Abandoned or No Volume,2014,2021
95,TurtleGold,Abandoned or No Volume,2019,2019
96,TrustNote,Abandoned or No Volume,2018,2019
97,PHASER PROTOCOL,Abandoned or No Volume,2020,2021
98,TronClassic,Abandoned or No Volume,2018,2019
99,Baby Yooshi,Scam or Other Issues,2021,2021
100,CakeZilla,Joke or No Purpose,2021,2021
101,Trident Group,Scam or Other Issues,2017,2018
102,TravelFlex,Scam or Other Issues,2017,2019
103,Traincoin,Abandoned or No Volume,2014,2014
104,Trade Token X,Abandoned or No Volume,2017,2019
105,Supermoon Token,Abandoned or No Volume,2021,2021
106,Traxion,Scam or Other Issues,2018,2019
107,TravelBlock,Abandoned or No Volume,2018,2018
108,TraderCoin,Abandoned or No Volume,2016,2016
109,Tourist Token,Abandoned or No Volume,2018,2018
110,CampusCoin,Abandoned or No Volume,2012,2019
111,DINGO TOKEN,Abandoned or No Volume,2011,2011
112,Tkeycoin,Scam or Other Issues,2018,2018
113,Titanium Coin,Abandoned or No Volume,2016,2016
114,Tipper Economy,Scam or Other Issues,2018,2018
115,Galaxium,Scam or Other Issues,2021,2021
116,Tokcoin,Abandoned or No Volume,2017,2018
117,TittieCoin,Abandoned or No Volume,2014,2020
118,Bitcoin Incognito,Abandoned or No Volume,2017,2019
119,TIM,Abandoned or No Volume,2017,2018
120,Tigercoin,Abandoned or No Volume,2013,2018
121,Thorecoin,Abandoned or No Volume,2018,2019
122,The Smurfs Coin,Abandoned or No Volume,2014,2014
123,TheCoin,Abandoned or No Volume,2020,2020
124,Teslacoin,Abandoned or No Volume,2014,2018
125,Tierion,Abandoned or No Volume,2017,2021
126,Thingschain,Abandoned or No Volume,2019,2020
127,Theresa May Coin,Abandoned or No Volume,2017,2019
128,THCoin,Abandoned or No Volume,2014,2014
129,Tenebrix,Abandoned or No Volume,2011,2011
130,Tend Token,Scam or Other Issues,2018,2018
131,Tellion,Scam or Other Issues,2018,2018
132,Teddy Coin,Abandoned or No Volume,2014,2014
133,Target Coin,Scam or Other Issues,2017,2018
134,Taler,Abandoned or No Volume,2017,2019
135,Tellurium,Abandoned or No Volume,2019,2019
136,SUN,Abandoned or No Volume,2011,2011
137,Taylor,Abandoned or No Volume,2017,2019
138,Tao Network,Abandoned or No Volume,2016,2019
139,Takeoutcoin,Abandoned or No Volume,2014,2014
140,SynCoin,Abandoned or No Volume,2014,2014
141,SYBC Coin,Scam or Other Issues,2020,2021
142,SwissRealCoin,Abandoned or No Volume,2018,2018
143,SwapToken,Scam or Other Issues,2016,2016
144,TaishaCoin,Scam or Other Issues,2021,2021
145,Symmetry Fund,Scam or Other Issues,2017,2017
146,Switch Coin,Scam or Other Issues,2014,2014
147,Swisscoin,Abandoned or No Volume,2018,2018
148,Sure Coin,Scam or Other Issues,2017,2017
149,Streamix,Scam or Other Issues,2020,2020
150,SuperCoin,Abandoned or No Volume,2017,2021
151,Sucre,Abandoned or No Volume,2017,2019
152,StuffGoGo,Abandoned or No Volume,2017,2019
153,Strayacoin,Abandoned or No Volume,2018,2019
154,Storiqa,Abandoned or No Volume,2017,2019
155,Sudan Gold Coin,Abandoned or No Volume,2017,2020
156,Subi Platform,Scam or Other Issues,2018,2019
157,StreamCoin,Abandoned or No Volume,2016,2017
158,Stox,Abandoned or No Volume,2017,2019
159,Storeum,Abandoned or No Volume,2019,2020
160,Storagecoin,Scam or Other Issues,2014,2014
161,Stash,Abandoned or No Volume,2017,2019
162,Stannum Coin,Abandoned or No Volume,2018,2018
163,StakeIt Tokens,ICO Fail or Short Lived,2017,2017
164,Binance Crunch,Abandoned or No Volume,2021,2021
165,StopTheFakes,Abandoned or No Volume,2017,2018
166,StarDust,Abandoned or No Volume,2018,2018
167,Stalwartbucks,Scam or Other Issues,2020,2020
168,Crypto Puffs,Abandoned or No Volume,2021,2021
169,StacyCoin,Abandoned or No Volume,2014,2014
170,StackedCoin,Abandoned or No Volume,2014,2014
171,Sprouts,Abandoned or No Volume,2015,2019
172,DagCoin,Scam or Other Issues,2017,2021
173,Sponsy,ICO Fail or Short Lived,2017,2018
174,Spike Token,Scam or Other Issues,2019,2020
175,Solarfare,Scam or Other Issues,2021,2021
176,SportyCo,Abandoned or No Volume,2017,2019
177,POODL,Joke or No Purpose,2020,2021
178,SpireCoin,Abandoned or No Volume,2014,2014
179,Speedcash,Abandoned or No Volume,2017,2020
180,Sp8de,Abandoned or No Volume,2017,2019
181,Solid Sources,Abandoned or No Volume,2018,2018
182,Social Coin,Abandoned or No Volume,2014,2014
183,Asch,Abandoned or No Volume,2017,2011
184,Snatcoin,Abandoned or No Volume,2018,2021
185,SolidCoin,Abandoned or No Volume,2011,2012
186,Soldo,Abandoned or No Volume,2017,2020
187,Snowcoin,Abandoned or No Volume,2013,2014
188,SnowBall Mining,Scam or Other Issues,2018,2018
189,Smartfox,Scam or Other Issues,2018,2018
190,SmartCoin,Abandoned or No Volume,2014,2021
191,SlothCoin,Abandoned or No Volume,2015,2018
192,Skychain,Abandoned or No Volume,2017,2019
193,Sipsco,Scam or Other Issues,2018,2018
194,Singularity,Abandoned or No Volume,2014,2014
195,Smart Trade Coin,Abandoned or No Volume,2018,2018
196,Slendercoin,Abandoned or No Volume,2014,2014
197,Skeincoin,Abandoned or No Volume,2013,2018
198,Sint Token,Scam or Other Issues,2018,2018
199,SilverCoin,Abandoned or No Volume,2017,2017
200,SiliconValleyCoin,Abandoned or No Volume,2014,2014
201,SiaCashCoin,Abandoned or No Volume,2018,2019
202,CateCoin,Abandoned or No Volume,2021,2021
203,Shieldcoin,Abandoned or No Volume,2014,2017
204,Sharpe Platform Toke,Scam or Other Issues,2017,2018
205,Sifcoin,Abandoned or No Volume,2013,2016
206,NiggerCoin,Joke or No Purpose,2016,2016
207,Shivers,Abandoned or No Volume,2017,2018
208,SherlockCoin,Abandoned or No Volume,2014,2014
209,SexyCam,Abandoned or No Volume,2018,2018
210,SerraCoin,Abandoned or No Volume,2014,2014
211,Sense,Abandoned or No Volume,2017,2018
212,eja coin,ICO Fail or Short Lived,2011,2018
213,Sesameseed,Abandoned or No Volume,2018,2020
214,Scudocoin,Scam or Other Issues,2018,2018
215,Sensus Network,Scam or Other Issues,2018,2018
216,Sendy,Abandoned or No Volume,2018,2018
217,Seed coin,Abandoned or No Volume,2013,2015
218,Securecoin,Abandoned or No Volume,2013,2020
219,Scoin,Scam or Other Issues,2019,2019
220,silent notary,Abandoned or No Volume,2017,2018
221,Scale Network,Abandoned or No Volume,2018,2018
222,Save Token,Scam or Other Issues,2018,2018
223,Axie Infinity,Scam or Other Issues,2018,2021
224,SAMFins,Scam or Other Issues,2018,2018
225,Scamcoin,Abandoned or No Volume,2014,2014
226,Savedroid,Abandoned or No Volume,2017,2020
227,Sapien,Abandoned or No Volume,2018,2020
228,Smooth Love Potion,Scam or Other Issues,2020,2021
229,SagaCoin,Abandoned or No Volume,2017,2018
230,Rutheneum,Scam or Other Issues,2017,2019
231,RPICoin,Abandoned or No Volume,2018,2020
232,Rover Coin,Abandoned or No Volume,2018,2018
233,RoseCoin,Abandoned or No Volume,2014,2014
234,Roi Coin,Abandoned or No Volume,2017,2020
235,Rubycoin,Abandoned or No Volume,2015,2018
236,Royalties,Abandoned or No Volume,2017,2018
237,RouletteToken,Abandoned or No Volume,2017,2018
238,Romancoin,Abandoned or No Volume,2018,2018
239,Rocketcoin,Abandoned or No Volume,2014,2014
240,Rocket Man Scam Coin,Abandoned or No Volume,2020,2021
241,RightCoin,Abandoned or No Volume,2014,2014
242,RialtoTrade,Abandoned or No Volume,2018,2019
243,Retainly,Abandoned or No Volume,2017,2018
244,SNP Token,Scam or Other Issues,2017,2020
245,RiseCoin,Abandoned or No Volume,2018,2019
246,RightMesh,Abandoned or No Volume,2017,2018
247,RevolutionVR,Abandoned or No Volume,2018,2019
248,Relest,Abandoned or No Volume,2017,2018
249,Regulus Token,Scam or Other Issues,2018,2019
250,Reefcoin,Abandoned or No Volume,2018,2018
251,RealityCoin,Abandoned or No Volume,2017,2018
252,RCoinX,Abandoned or No Volume,2018,2018
253,RatCoin,Abandoned or No Volume,2014,2014
254,Rapture,Abandoned or No Volume,2018,2019
255,Redchain,Abandoned or No Volume,2017,2017
256,RealCoin,Abandoned or No Volume,2013,2013
257,Raven Dark,Abandoned or No Volume,2019,2020
258,RastaCoin,Abandoned or No Volume,2014,2014
259,Rampant Coin,Abandoned or No Volume,2018,2018
260,Raison,Abandoned or No Volume,2017,2020
261,Radioactivecoin,Abandoned or No Volume,2014,2014
262,Qyno,Abandoned or No Volume,2018,2019
263,Bithob,Scam or Other Issues,2021,2021
264,Quebecoin,Abandoned or No Volume,2018,2021
265,RainbowGoldCoin,Abandoned or No Volume,2014,2014
266,Rabbitcoin,Abandoned or No Volume,2018,2019
267,Qwasder,Abandoned or No Volume,2018,2019
268,Qvolta,Abandoned or No Volume,2017,2018
269,Quatloo,Abandoned or No Volume,2014,2019
270,Quantum,Abandoned or No Volume,2017,2018
271,Qabio,Abandoned or No Volume,2018,2018
272,Pukao Global,Abandoned or No Volume,2018,2020
273,Proof Token,Abandoned or No Volume,2017,2020
274,Prodeum,Scam or Other Issues,2018,2018
275,QBIC Coin,Abandoned or No Volume,2018,2020
276,Purex,Abandoned or No Volume,2020,2020
277,Publica,Abandoned or No Volume,2017,2019
278,Project SHIVOM,Abandoned or No Volume,2018,2019
279,PRiVCY,Abandoned or No Volume,2018,2021
280,PrivatePay,Abandoned or No Volume,2018,2018
281,Powercoin,Abandoned or No Volume,2014,2014
282,Posscoin,Scam or Other Issues,2018,2020
283,Popcoin,Abandoned or No Volume,2014,2018
284,PonziCoin,Abandoned or No Volume,2016,2021
285,Primecoin,Abandoned or No Volume,2013,2019
286,PoundCoin,Abandoned or No Volume,2014,2014
287,PORN-X,Scam or Other Issues,2017,2018
288,Popchain,Abandoned or No Volume,2018,2021
289,POLY AI,Abandoned or No Volume,2017,2018
290,PolishCoin,Abandoned or No Volume,2014,2014
291,Pocaga,Scam or Other Issues,2018,2018
292,PM7,Abandoned or No Volume,2017,2018
293,Ploutos Coin,Abandoned or No Volume,2018,2019
294,Play2Live,Abandoned or No Volume,2017,2018
295,Poker Coin,Abandoned or No Volume,2018,2020
296,Po.et,Abandoned or No Volume,2017,2020
297,PluraCoin,Abandoned or No Volume,2018,2021
298,PlayToken,Abandoned or No Volume,2013,2014
299,PlatinumBAR,Abandoned or No Volume,2016,2020
300,Platin,Abandoned or No Volume,2017,2019
301,Plancoin,Abandoned or No Volume,2018,2019
302,PirateCoin,Abandoned or No Volume,2014,2014
303,PinkstarcoinV2,Abandoned or No Volume,2018,2018
304,PingPaid,Abandoned or No Volume,2018,2019
305,Planet Mobile Token,Scam or Other Issues,2018,2018
306,PixelCoin,Abandoned or No Volume,2014,2014
307,PayPro,Scam or Other Issues,2017,2018
308,PiniumCoin,Abandoned or No Volume,2014,2014
309,PikaCoin,Abandoned or No Volume,2014,2014
310,Pied Piper Coin,Scam or Other Issues,2018,2019
311,Picpoto,Abandoned or No Volume,2018,2019
312,Phicoin,Abandoned or No Volume,2014,2016
313,People Coin,Abandoned or No Volume,2013,2014
314,PENG,Abandoned or No Volume,2018,2020
315,Pieces of 8,Abandoned or No Volume,2018,2018
316,Photon,Abandoned or No Volume,2014,2021
317,Phantomx,Abandoned or No Volume,2017,2019
318,Pennykoin,Abandoned or No Volume,2018,2019
319,NOVA SHIBA,Scam or Other Issues,2021,2021
320,B2BX,ICO Fail or Short Lived,2017,2020
321,Peepcoin,Abandoned or No Volume,2016,2021
322,Payfair,Abandoned or No Volume,2017,2019
323,PatriotCoin,Abandoned or No Volume,2014,2014
324,Parkgene,Abandoned or No Volume,2018,2018
325,PeerPay,Abandoned or No Volume,2014,2014
326,Paypex,Scam or Other Issues,2017,2018
327,Paycent,Abandoned or No Volume,2017,2019
328,Pascal Lite,Abandoned or No Volume,2017,2019
329,PARETO Rewards,Abandoned or No Volume,2017,2020
330,Paragon,Scam or Other Issues,2017,2020
331,Pandacoin,Abandoned or No Volume,2017,2021
332,PAL Network,Scam or Other Issues,2018,2019
333,PagareX,Scam or Other Issues,2017,2018
334,Oyster,Abandoned or No Volume,2017,2017
335,Pangu Coin,Abandoned or No Volume,2013,2013
336,PalladiumCoin,Abandoned or No Volume,2017,2017
337,Baby Panda,Scam or Other Issues,2011,2011
338,PACT coin,Abandoned or No Volume,2019,2019
339,OutMySphere,Scam or Other Issues,2017,2019
340,Ouro Paulista,Abandoned or No Volume,2019,2019
341,Orcacoin,Abandoned or No Volume,2014,2015
342,Opus,Abandoned or No Volume,2017,2021
343,Opporty,Scam or Other Issues,2017,2018
344,Open Trading Network,Scam or Other Issues,2017,2017
345,Gooreo,Scam or Other Issues,2019,2019
346,OrbitCoin,Abandoned or No Volume,2013,2021
347,BILLS,Scam or Other Issues,2021,2021
348,OpenGift,Abandoned or No Volume,2018,2018
349,Online Gaming Coin,Abandoned or No Volume,2013,2013
350,Onix Coin,Abandoned or No Volume,2017,2019
351,Omnitude,Abandoned or No Volume,2018,2018
352,Oilcoin,Abandoned or No Volume,2017,2018
353,ODIN Blockchain,Abandoned or No Volume,2018,2020
354,OHAS,Abandoned or No Volume,2018,2018
355,OnionCoin,Abandoned or No Volume,2014,2014
356,OLXA,Abandoned or No Volume,2017,2019
357,Ohmcoin,Abandoned or No Volume,2018,2020
358,Obsidian,Abandoned or No Volume,2017,2018
359,NYXCoin,Abandoned or No Volume,2018,2018
360,Bogged finance,Scam or Other Issues,2021,2021
361,MIROCANA,Scam or Other Issues,2017,2018
362,NXO,Abandoned or No Volume,2018,2018
363,LoMoCoin,Abandoned or No Volume,2016,2019
364,NuLINK,Abandoned or No Volume,2020,2020
365,Doghouse,Scam or Other Issues,2011,2011
366,NXR,Abandoned or No Volume,2014,2014
367,NuruCoin,Scam or Other Issues,2017,2018
368,NulleX,Abandoned or No Volume,2018,2020
369,NuCoin,Abandoned or No Volume,2013,2013
370,NR1 Coin,Abandoned or No Volume,2018,2018
371,NodeCash,Scam or Other Issues,2018,2018
372,NITRO,Abandoned or No Volume,2017,2019
373,NioShares,Abandoned or No Volume,2019,2020
374,Nexxo,Abandoned or No Volume,2019,2020
375,Nousplatform,Abandoned or No Volume,2017,2018
376,NOAHcoin,Abandoned or No Volume,2014,2014
377,TheToken.Network,Abandoned or No Volume,2021,2021
378,Nielsen Coin,Scam or Other Issues,2017,2019
379,NexusCoin,Abandoned or No Volume,2014,2020
380,Nexium,Abandoned or No Volume,2016,2018
381,NeonCoin,Scam or Other Issues,2018,2018
382,NeedsCoin,Abandoned or No Volume,2017,2018
383,NanoHealthCare Token,Abandoned or No Volume,2018,2020
384,Nametoken,Abandoned or No Volume,2017,2019
385,Netavo,Scam or Other Issues,2018,2018
386,Neo Gold,Scam or Other Issues,2017,2018
387,NBCoin,Abandoned or No Volume,2013,2014
388,NANJCOIN,Scam or Other Issues,2018,2019
389,Naked Dollar,Scam or Other Issues,2017,2019
390,Nakacoin,Abandoned or No Volume,2011,2011
391,Mydexpay,Abandoned or No Volume,2020,2021
392,Murmur,Abandoned or No Volume,2018,2020
393,Morgan Coin,Scam or Other Issues,2018,2018
394,Monyx,Scam or Other Issues,2018,2018
395,NaanaYaM,Abandoned or No Volume,2013,2013
396,MutCoin,Abandoned or No Volume,2014,2014
397,Mouse Coin,Abandoned or No Volume,2018,2021
398,Moonstone DAC,Abandoned or No Volume,2016,2017
399,Dynasty Coin,Scam or Other Issues,2019,2019
400,Shikoku finance,Scam or Other Issues,2021,2021
401,Bitroad,Scam or Other Issues,2011,2011
402,MoneyToken,Abandoned or No Volume,2018,2019
403,Molecule,Abandoned or No Volume,2018,2019
404,Mobile Crypto Pay Coin,Abandoned or No Volume,2018,2021
405,IinsurePal,Joke or No Purpose,2018,2019
406,Ulink finance,ICO Fail or Short Lived,2021,2021
407,Monetize Coin,Scam or Other Issues,2018,2018
408,Modum,Abandoned or No Volume,2017,2018
409,MnexCoin,Abandoned or No Volume,2019,2019
410,MktCoin,Abandoned or No Volume,2017,2021
411,MingoCoin,Abandoned or No Volume,2017,2019
412,MinerCoin,Abandoned or No Volume,2018,2019
413,MinaxCoin,Abandoned or No Volume,2018,2018
414,leadcoin,Abandoned or No Volume,2011,2011
415,Miracle Tele,Abandoned or No Volume,2018,2019
416,MinexCoin,Abandoned or No Volume,2017,2020
417,Mindexcoin,Scam or Other Issues,2018,2018
418,MilanCoin,Abandoned or No Volume,2013,2014
419,MFChain,ICO Fail or Short Lived,2018,2018
420,Metabase Network,Abandoned or No Volume,2018,2018
421,Meowth,Abandoned or No Volume,2021,2021
422,Melange,Abandoned or No Volume,2014,2014
423,Hycon,ICO Fail or Short Lived,2017,2020
424,Megcoin,Abandoned or No Volume,2014,2014
425,Merit,Abandoned or No Volume,2018,2018
426,Menlo One,Abandoned or No Volume,2018,2020
427,Tokugawa,ICO Fail or Short Lived,2017,2019
428,Sether,ICO Fail or Short Lived,2017,2021
429,MedX Protocol,Scam or Other Issues,2017,2019
430,MediaCoin,Abandoned or No Volume,2019,2019
431,MCX coin,Scam or Other Issues,2017,2018
432,MarteXcoin,Abandoned or No Volume,2014,2020
433,MapleCoin,Abandoned or No Volume,2014,2014
434,Manna,Abandoned or No Volume,2018,2020
435,MDtoken,Abandoned or No Volume,2019,2019
436,MASS.cloud,Abandoned or No Volume,2017,2018
437,Marijuanacoin,Scam or Other Issues,2017,2017
438,Mano Coin,Abandoned or No Volume,2018,2020
439,Magos,Abandoned or No Volume,2017,2020
440,Magi,Abandoned or No Volume,2014,2020
441,XSPACE.finance,Scam or Other Issues,2020,2020
442,Lucky block network,Scam or Other Issues,2019,2020
443,Machinecoin,Abandoned or No Volume,2018,2019
444,Luckbox,Abandoned or No Volume,2018,2019
445,siacoin,Abandoned or No Volume,2018,2019
446,Yearn finance red moon,Abandoned or No Volume,2020,2020
447,Maecenas,Scam or Other Issues,2018,2020
448,Lucky7Coin,Abandoned or No Volume,2013,2014
449,Lotus,Abandoned or No Volume,2017,2018
450,LoopX,Scam or Other Issues,2017,2018
451,Loligo,Abandoned or No Volume,2018,2019
452,Locus Chain,Abandoned or No Volume,2018,2020
453,Livecoin,Abandoned or No Volume,2014,2014
454,Live Stars,Abandoned or No Volume,2018,2019
455,LOOiX,Abandoned or No Volume,2018,2019
456,Lolcoin,Abandoned or No Volume,2014,2014
457,Local World Forwarders,ICO Fail or Short Lived,2017,2018
458,Matrix AI Network,Scam or Other Issues,2017,2020
459,Litecoin HD,Abandoned or No Volume,2019,2020
460,Litecoin Diamond,Abandoned or No Volume,2017,2018
461,LiteDoge,Abandoned or No Volume,2018,2020
462,Liquidcoin,Abandoned or No Volume,2012,2013
463,Lionsea,Abandoned or No Volume,2018,2018
464,Lines,Abandoned or No Volume,2018,2018
465,Litecoin Plus,Abandoned or No Volume,2017,2020
466,LIZA,Abandoned or No Volume,2018,2019
467,Liquid Regenerative Medicine Coin,Abandoned or No Volume,2018,2019
468,Linx,Abandoned or No Volume,2017,2018
469,LindaX,Abandoned or No Volume,2018,2019
470,LimeCoinX,Abandoned or No Volume,2014,2016
471,Light Velocity Coin,Abandoned or No Volume,2014,2014
472,Lif,Abandoned or No Volume,2017,2020
473,LeviarCoin,Abandoned or No Volume,2017,2018
474,Lelecoin,Abandoned or No Volume,2018,2018
475,Limecoin Lite,Abandoned or No Volume,2014,2014
476,LightPay Coin,Abandoned or No Volume,2018,2019
477,Libereum,Abandoned or No Volume,2018,2019
478,Lendingblock,Abandoned or No Volume,2018,2020
479,LeadCoin Network,Abandoned or No Volume,2018,2018
480,LeaCoin,Abandoned or No Volume,2015,2019
481,LanaCoin,Abandoned or No Volume,2016,2020
482,LakeBanker,Abandoned or No Volume,2017,2018
483,KYC.Legal,Scam or Other Issues,2017,2019
484,Kubera Coin,Abandoned or No Volume,2017,2018
485,Lazooz,Scam or Other Issues,2014,2015
486,Lamoneda,Scam or Other Issues,2018,2018
487,Kzcash,Abandoned or No Volume,2017,2020
488,Kudos,Abandoned or No Volume,2013,2014
489,Internet of People,Abandoned or No Volume,2018,2020
490,Krios,Abandoned or No Volume,2017,2019
491,Konios,Abandoned or No Volume,2018,2018
492,Koindashian,Abandoned or No Volume,2014,2014
493,KillerCoin,Abandoned or No Volume,2014,2014
494,KickSoccer Coin,Abandoned or No Volume,2018,2020
495,Kreita,Scam or Other Issues,2018,2018
496,Komodore64,Abandoned or No Volume,2018,2019
497,KINGcoin,Scam or Other Issues,2020,2020
498,Kidbizo,ICO Fail or Short Lived,2018,2018
499,Kicker Room,Abandoned or No Volume,2018,2018
500,Kibo,Abandoned or No Volume,2016,2018
501,Kerberos Coin,Abandoned or No Volume,2018,2018
502,Pork Chop,Scam or Other Issues,2020,2020
503,KenCoin,Scam or Other Issues,2017,2018
504,KarpCoin,Abandoned or No Volume,2014,2014
505,Khalsa Koin,Abandoned or No Volume,2018,2018
506,Keplertek Technologies,Scam or Other Issues,2017,2019
507,Akroma,Abandoned or No Volume,2018,2020
508,KEGcoin,Abandoned or No Volume,2019,2019
509,KaKaCoin,Abandoned or No Volume,2014,2014
510,PayPie,Abandoned or No Volume,2017,2019
511,Jinnong Coin,Abandoned or No Volume,2014,2014
512,JSEcoin,Abandoned or No Volume,2017,2020
513,Insolar,Scam or Other Issues,2018,2020
514,Jerky Coin,Abandoned or No Volume,2014,2014
515,KabutoCoin,Abandoned or No Volume,2017,2017
516,Juggalo Coin,Abandoned or No Volume,2014,2014
517,Jin Coin,Abandoned or No Volume,2016,2018
518,Jesus Coin,Abandoned or No Volume,2017,2018
519,JennyCoin,Abandoned or No Volume,2014,2014
520,Jaag Coin,Abandoned or No Volume,2018,2019
521,Ixcoin,Abandoned or No Volume,2013,2014
522,ItalyCoin,Abandoned or No Volume,2013,2014
523,Investcoin,Abandoned or No Volume,2018,2019
524,Intersteller Hold,Abandoned or No Volume,2017,2018
525,Izerioum,Abandoned or No Volume,2020,2020
526,Ivykoin,Abandoned or No Volume,2018,2019
527,Involve,Scam or Other Issues,2018,2018
528,Invacio,Abandoned or No Volume,2018,2019
529,Intellos,Abandoned or No Volume,2018,2018
530,INTCoin,Abandoned or No Volume,2017,2017
531,InstaPay Coin,Abandoned or No Volume,2014,2014
532,Innovative Bioresearch,Abandoned or No Volume,2018,2020
533,InMax,Abandoned or No Volume,2018,2019
534,Infireum,Abandoned or No Volume,2019,2020
535,NanoSwap,Scam or Other Issues,2020,2020
536,InsanityCoin,Abandoned or No Volume,2014,2014
537,Innova,Abandoned or No Volume,2017,2018
538,Initiative Q,Scam or Other Issues,2018,2019
539,Infinium-8,Abandoned or No Volume,2014,2018
540,indaHash,Abandoned or No Volume,2016,2019
541,iMPERIUM,Scam or Other Issues,2017,2017
542,iFan,Scam or Other Issues,2017,2018
543,Hyperspace,Abandoned or No Volume,2018,2018
544,Huitong,Abandoned or No Volume,2013,2013
545,Incakoin,Abandoned or No Volume,2015,2018
546,ImmVRse,Abandoned or No Volume,2018,2019
